Front,Back,Tags
What airflow is required through a 2.0 ft² opening at 100 fpm?,"Q=VA=(100)(2.0)=200 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What face velocity results from 1,500 cfm through 3.0 ft²?","V=Q/A=1,500/3.0=500 fpm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What area is required for 2,400 cfm at 400 fpm?","A=Q/V=2,400/400=6.0 ft².

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"If opening area doubles at constant airflow, what happens to velocity?","Velocity halves because V=Q/A.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What velocity pressure corresponds to 2,000 fpm under standard density?","VP=(V/4005)²=(2000/4005)²=0.249 in. w.g.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
What velocity corresponds to 0.50 in. w.g. VP at standard density?,"V=4005√VP=2,832 fpm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
What velocity results from VP=0.40 in. w.g. and density factor 1.10?,"V=4005√(VP/df)=2,417 fpm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What VP is required for 3,000 fpm when df=1?","VP=(3000/4005)²=0.561 in. w.g.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What airflow is required for a 0.75-ft² hood opening at 1,200 fpm?","Q=VA=1,200×0.75=900 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What face velocity is produced by 1,800 cfm through 1.5 ft²?","V=1,800/1.5=1,200 fpm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What airflow factor is needed to raise face velocity from 800 to 1,000 fpm at fixed area?","Q must increase by 1,000/800=1.25, or 25%.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
What hood entry loss occurs for Fh=0.25 and VPd=1.6 in. w.g.?,"Entry loss=Fh×VPd=0.40 in. w.g.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
What hood entry loss occurs for Fh=0.75 and VPd=2.0 in. w.g.?,"Entry loss=1.50 in. w.g.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What VP corresponds to 3,500 fpm at df=1?","VP=(3500/4005)²=0.763 in. w.g.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
What velocity corresponds to 1.00 in. w.g. VP at standard density?,"V=4,005 fpm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
What Ce results from VP=0.64 and |SPh|=1.0?,"Ce=√(VP/|SPh|)=0.80.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What airflow is predicted by Q=4005Ce√(|SPh|/df)A for Ce=.80, SPh=1, df=1, A=2 ft²?","Q=6,408 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What airflow is predicted for Ce=.75, SPh=.50, df=1, A=1 ft²?","Q≈2,125 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What effective airflow results from Q=3,000 cfm and mi=.60 using Q′=Q/mi?","Q′=5,000 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What effective airflow results from Q=6,000 cfm and mi=1.20?","Q′=5,000 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What ACH results from 3,000 cfm effective airflow in a 12,000-ft³ room?","N=60Q′/Vr=15 ACH.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What effective airflow is required for 8 ACH in a 20,000-ft³ room?","Q′=N×Vr/60=2,666.7 cfm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"How many ACH occur with 2,500 cfm effective airflow in a 15,000-ft³ room?","N=10 ACH.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What is the nominal one-air-change time in a 9,000-ft³ room with 1,500 cfm effective airflow?","Vr/Q′=6 minutes.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"How long does ideal purging take to reduce 4,000 ppm to 50 ppm in 9,000 ft³ with Q′=2,992 cfm?","t=−Vr/Q′ ln(C2/C1)≈1.21 min.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
"What concentration remains after 5 min if C0=1,000 ppm, Q′=1,000 cfm, Vr=10,000 ft³?","C=C0e^(−Q′t/Vr)=606.5 ppm.

Reference: Modern formula: BGC 2026 CIH Equation Sheet (2026), pp.2–3; book topic: Fundamentals of Industrial Hygiene, 5th ed., pp.607–642.",CIH_Hardcore_V2 Ventilation_LEV
