Front,Back,Tags
Define industrial hygiene.,"The science and art devoted to the anticipation, recognition, evaluation, and control of workplace environmental factors or stresses that may cause sickness, impaired health/well-being, or significant discomfort.

Reference: p. 3 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_BasicScience Concept
What are the four classic steps of industrial hygiene practice?,"Anticipation, recognition, evaluation, and control.

Reference: p. 3 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_IHProgram Concept
What is the primary focus of an industrial hygienist?,"Control of environmental stresses or occupational health hazards arising from or during work.

Reference: p. 3 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_WorkEnvironments Concept
Name four broad categories of occupational health hazards identified in the book.,"Chemical, physical, ergonomic, and biological hazards.

Reference: pp. 6–7 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_BasicScience Concept
What are the three major routes of entry for harmful agents discussed in Chapter 1?,"Inhalation, absorption, and ingestion.

Reference: p. 20 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_BasicScience Concept
What is a TLV-TWA?,"The time-weighted average concentration for a conventional 8-hour workday and 40-hour workweek to which nearly all workers may be repeatedly exposed without adverse effect.

Reference: p. 24 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_RiskAnalysis Concept
What is a TLV-STEL in this edition?,"A 15-minute TWA exposure that should not be exceeded during the workday, while the daily TLV-TWA is not exceeded.

Reference: p. 24 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_RiskAnalysis Concept
What is a TLV-C?,"A concentration that should not be exceeded during any part of the working exposure.

Reference: p. 26 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_RiskAnalysis Concept
What is the central goal of an occupational health and safety program?,"Prevent occupational injury and illness by anticipating, recognizing, evaluating, and controlling occupational health and safety hazards.

Reference: p. 5 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_IHProgram Concept
List the major components of an effective industrial hygiene program.,"Written policy/program; hazard recognition; hazard evaluation/exposure assessment; hazard control; employee training; employee involvement; program evaluation/audit; and recordkeeping.

Reference: p. 7 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH01 CIH_IHProgram Concept
What structures make up the human respiratory system?,"Nose, pharynx, larynx, trachea, bronchi, and lungs, with the diaphragm and chest muscles enabling respiratory movement.

Reference: p. 35 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_BasicScience Concept
What is the function of nasal passages in respiratory defense?,"They warm and humidify incoming air and help trap contaminants in mucus.

Reference: pp. 35–37 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_BasicScience Concept
What is the mucociliary escalator?,"Mucus produced in the trachea and bronchi is moved toward the mouth by coordinated ciliary action, carrying foreign material to the throat for expectoration or swallowing.

Reference: p. 47 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_BasicScience Concept
What happens when reactive material reaches the alveoli and causes severe injury?,"Inflammation can progress to pulmonary edema, which markedly impairs gas exchange.

Reference: p. 47 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_Toxicology Concept
How does carbon monoxide harm the body according to the chapter?,"It crosses the alveolar wall into blood and binds hemoglobin, preventing hemoglobin from accepting oxygen and producing oxygen starvation.

Reference: p. 47 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_Toxicology Concept
What are the three broad categories of inhaled contaminants that adversely affect the lungs?,"Aerosols/dusts that deposit and cause tissue reaction or disease; toxic gases causing direct tissue injury; and toxic aerosols/gases that enter the bloodstream and affect other organs or oxygen-carrying capacity.

Reference: p. 47 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_Toxicology Concept
What factors can explain different respiratory responses among workers with similar exposures?,"Differences in pulmonary clearance, cigarette smoking, coexisting pulmonary disease, and genetic factors.

Reference: p. 47 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_Toxicology Concept
What is the role of pulmonary macrophages?,"They engulf many particles reaching the deep lung and can migrate toward the airways for removal, swallowing, or movement into interstitial tissue.

Reference: p. 47 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_BasicScience Concept
What is fibrosis in the context of occupational particulates?,"Formation of fibrous tissue in the lung in response to certain insoluble, relatively inert particulates such as asbestos and silica.

Reference: p. 47 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_Toxicology Concept
How can age affect respiratory defense mechanisms?,"Defense and clearance mechanisms may slow with age, so older workers' lungs may be cleaned less quickly or efficiently.

Reference: p. 48 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH02 CIH_BasicScience Concept
What are the main layers of the skin?,"Epidermis, dermis, and subcutaneous tissue.

Reference: pp. 51–53 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_BasicScience Concept
What is the primary role of eccrine sweat?,"Dissipation of internal heat by evaporation from the skin surface.

Reference: p. 53 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_ThermalStress Concept
Name major categories of occupational dermatitis causes.,"Chemical, mechanical, physical, and biological agents.

Reference: pp. 55–62 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_Biohazards Concept
Give examples of mechanical causes of skin irritation.,"Friction, pressure, and trauma.

Reference: p. 28 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_BasicScience Concept
What physical agents can cause occupational dermatitis?,"Heat, cold, sunlight, x-rays/ionizing radiation, and electricity.

Reference: p. 28 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_Radiation Concept
What biological agents can cause occupational dermatitis?,"Bacterial, fungal, and parasitic agents.

Reference: p. 28 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_Biohazards Concept
What is the primary preventive objective for occupational skin hazards?,"Eliminate skin contact with the hazardous agent as completely as possible.

Reference: p. 28 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_NonEngineeringControls Concept
What is an irritant dermatitis mechanism?,"Direct chemical or physical injury to the skin that can damage the tissue without requiring prior sensitization.

Reference: pp. 62–64 — Fundamentals of Industrial Hygiene, 5th ed. (2002).",CH03 CIH_Toxicology Concept
